case_id,activity,timestamp,label
1,J1,2023-11-25 01:52:24,1
1,J2,2023-11-25 01:53:24,1
1,J4,2023-11-25 01:54:24,1
1,J5,2023-11-25 01:55:24,1
1,J4,2023-11-25 01:56:24,1
1,J5,2023-11-25 01:57:24,1
1,J4,2023-11-25 01:58:24,1
1,J5,2023-11-25 01:59:24,1
1,J4,2023-11-25 02:00:24,1
1,J6,2023-11-25 02:01:24,1
2,J1,2023-11-25 02:02:24,1
2,J4,2023-11-25 02:03:24,1
2,J5,2023-11-25 02:04:24,1
2,J4,2023-11-25 02:05:24,1
2,J5,2023-11-25 02:06:24,1
2,J4,2023-11-25 02:07:24,1
2,J5,2023-11-25 02:08:24,1
2,J2,2023-11-25 02:09:24,1
2,J4,2023-11-25 02:10:24,1
2,J5,2023-11-25 02:11:24,1
2,J4,2023-11-25 02:12:24,1
2,J5,2023-11-25 02:13:24,1
2,J4,2023-11-25 02:14:24,1
2,J5,2023-11-25 02:15:24,1
2,J4,2023-11-25 02:16:24,1
2,J6,2023-11-25 02:17:24,1
3,J1,2023-11-25 02:18:24,1
3,J2,2023-11-25 02:19:24,1
3,J3,2023-11-25 02:20:24,1
3,J6,2023-11-25 02:21:24,1
4,J1,2023-11-25 02:22:24,0
4,J2,2023-11-25 02:23:24,0
4,J3,2023-11-25 02:24:24,0
4,J6,2023-11-25 02:25:24,0
5,J1,2023-11-25 02:26:24,1
5,J4,2023-11-25 02:27:24,1
5,J5,2023-11-25 02:28:24,1
5,J4,2023-11-25 02:29:24,1
5,J2,2023-11-25 02:30:24,1
5,J5,2023-11-25 02:31:24,1
5,J4,2023-11-25 02:32:24,1
5,J5,2023-11-25 02:33:24,1
5,J4,2023-11-25 02:34:24,1
5,J5,2023-11-25 02:35:24,1
5,J4,2023-11-25 02:36:24,1
5,J6,2023-11-25 02:37:24,1
6,J1,2023-11-25 02:38:24,1
6,J3,2023-11-25 02:39:24,1
6,J2,2023-11-25 02:40:24,1
6,J6,2023-11-25 02:41:24,1
7,J1,2023-11-25 02:42:24,1
